iter	Passed	Remaining
0	2	296
1	5	263
2	7	245
3	9	221
4	11	218
5	14	224
6	16	217
7	18	210
8	20	206
9	22	200
10	24	195
11	27	204
12	29	198
13	30	189
14	31	180
15	32	172
16	33	164
17	35	159
18	36	153
19	37	148
20	37	142
21	38	137
22	39	132
23	41	131
24	43	129
25	43	124
26	44	120
27	45	116
28	46	113
29	47	110
30	48	106
31	48	103
32	49	100
33	50	97
34	51	95
35	52	93
36	53	91
37	55	90
38	56	88
39	57	86
40	59	84
41	59	82
42	60	79
43	61	77
44	61	75
45	63	74
46	64	72
47	65	70
48	66	69
49	67	67
50	68	65
51	68	63
52	69	61
53	70	60
54	70	58
55	71	56
56	72	54
57	73	52
58	73	51
59	74	49
60	75	48
61	76	46
62	76	45
63	77	43
64	78	42
65	79	40
66	79	39
67	80	37
68	81	36
69	82	35
70	82	33
71	83	32
72	84	31
73	85	29
74	85	28
75	86	27
76	86	25
77	87	24
78	87	23
79	88	22
80	89	20
81	89	19
82	90	18
83	90	17
84	91	16
85	92	15
86	92	13
87	93	12
88	94	11
89	94	10
90	95	9
91	96	8
92	96	7
93	97	6
94	98	5
95	98	4
96	99	3
97	100	2
98	100	1
99	101	0
