iter	Passed	Remaining
0	175	174866
1	177	88682
2	181	60157
3	184	45872
4	186	37139
5	189	31325
6	191	27155
7	194	24083
8	196	21639
9	199	19717
10	201	18155
11	204	16822
12	206	15701
13	209	14741
14	211	13885
15	215	13280
16	218	12646
17	221	12060
18	223	11518
19	225	11036
20	227	10597
21	230	10247
22	232	9894
23	235	9561
24	237	9249
25	239	8960
26	241	8692
27	244	8481
28	247	8271
29	249	8071
30	252	7883
31	254	7703
32	257	7535
33	259	7383
34	261	7221
35	263	7062
36	265	6908
37	267	6763
38	268	6617
39	270	6483
40	271	6354
41	273	6242
42	275	6124
43	276	6011
44	277	5898
45	279	5794
46	280	5692
47	281	5589
48	283	5496
49	284	5403
50	285	5315
51	286	5225
52	287	5141
53	289	5066
54	290	4996
55	292	4922
56	293	4849
57	294	4781
58	295	4712
59	296	4647
60	297	4584
61	299	4523
62	300	4464
63	301	4407
64	302	4351
65	304	4303
66	305	4257
67	307	4210
68	308	4159
69	309	4107
70	310	4058
71	311	4013
72	312	3967
73	313	3925
74	314	3882
75	315	3838
76	316	3796
77	318	3759
78	319	3725
79	321	3693
80	322	3657
81	323	3622
82	324	3580
83	325	3544
84	326	3509
85	326	3474
86	327	3440
87	328	3407
88	329	3374
89	330	3342
90	331	3312
91	332	3281
92	334	3257
93	335	3234
94	336	3207
95	337	3180
96	338	3152
97	339	3126
98	340	3100
99	341	3075
100	342	3049
101	343	3025
102	344	3002
103	345	2978
104	346	2954
105	347	2932
106	349	2920
107	351	2902
108	352	2882
109	353	2862
110	354	2840
111	355	2819
112	356	2799
113	357	2781
114	358	2762
115	359	2743
116	360	2722
117	361	2702
118	362	2684
119	364	2672
120	365	2655
121	366	2639
122	367	2622
123	368	2604
124	369	2588
125	370	2572
126	371	2554
127	372	2538
128	373	2523
129	374	2508
130	375	2491
131	376	2476
132	377	2461
133	379	2452
134	380	2440
135	381	2426
136	382	2411
137	383	2397
138	385	2386
139	386	2373
140	387	2362
141	388	2348
142	390	2338
143	392	2330
144	393	2322
145	395	2312
146	396	2303
147	397	2290
148	398	2277
149	399	2266
150	401	2255
151	402	2245
152	403	2235
153	405	2228
154	406	2218
155	408	2208
156	410	2201
157	411	2193
158	413	2185
159	414	2175
160	415	2163
161	416	2153
162	417	2143
163	418	2133
164	419	2124
165	420	2114
166	421	2103
167	422	2093
168	424	2084
169	426	2080
170	427	2072
171	428	2063
172	429	2054
173	430	2044
174	432	2037
175	433	2031
176	435	2023
177	436	2013
178	437	2004
179	439	2003
180	441	1998
181	443	1991
182	444	1983
183	445	1977
184	446	1968
185	447	1959
186	448	1950
187	449	1942
188	450	1934
189	451	1926
190	453	1919
191	454	1913
192	455	1905
193	457	1898
194	458	1891
195	459	1884
196	460	1876
